Crop,Unit,2017,2018,2019,2020,2021,2022*
Maize1  …................................................,000 Tonnes,239.2,441.5,316.7,261.3,228.4,150.8
Wheat2 ….................................................,000 Tonnes,156.9,330.3,348.8,280.8,241.9,181.9
Coffee ….................................................,000 Tonnes,33.7,36.8,33.6,24.4,28.2,41.9
Tea   ….................................................,000 Tonnes,439.8,493.0,458.9,569.5,537.8,533.3
Cotton2 ….................................................,000 Tonnes,11.9,12.0,3.0,3.4,1.3,3.8
Sugar-cane2  ….................................................,Million Tonnes,4.8,5.3,4.4,6.8,7.8,8.7
Pyrethrum (extract equivalent)…..,Tonnes,3.0,3.8,7.4,5.7,11.5,22.15
Sisal ….................................................,000 Tonnes,20.6,23.1,22.3,28.5,28.9,32.2
Rice Paddy2  .….................................................,000 Tonnes,83.6,117.8,96.4,108.5,111.6,123.9
*  Provisional.,,,,,,,
1 Includes purchases by National Cereals and Produce Board and millers.,,,,,,,
 2 Deliveries to factories/ginneries.,,,,,,,
